State,Currency,Year,Median Income/Standard Error,USD$
United States,CURRENT DOLLARS,1986,"Median
income",24897
United States,CURRENT DOLLARS,1986,"Standard
error",129
United States,CURRENT DOLLARS,1988,"Median
income",27225
United States,CURRENT DOLLARS,1988,"Standard
error",139
United States,CURRENT DOLLARS,1989,"Median
income",28906
United States,CURRENT DOLLARS,1989,"Standard
error",159
United States,CURRENT DOLLARS,1990,"Median
income",29943
United States,CURRENT DOLLARS,1990,"Standard
error",153
United States,CURRENT DOLLARS,1991,"Median
income",30126
United States,CURRENT DOLLARS,1991,"Standard
error",144
United States,CURRENT DOLLARS,1996,"Median
income",35492
United States,CURRENT DOLLARS,1996,"Standard
error",179
United States,CURRENT DOLLARS,1997,"Median
income",37005
United States,CURRENT DOLLARS,1997,"Standard
error",171
United States,CURRENT DOLLARS,1998,"Median
income",38885
United States,CURRENT DOLLARS,1998,"Standard
error",230
United States,CURRENT DOLLARS,2001,"Median
income",42228
United States,CURRENT DOLLARS,2001,"Standard
error",129
United States,CURRENT DOLLARS,2002,"Median
income",42409
United States,CURRENT DOLLARS,2002,"Standard
error",139
United States,CURRENT DOLLARS,2003,"Median
income",43318
United States,CURRENT DOLLARS,2003,"Standard
error",188
United States,CURRENT DOLLARS,2005,"Median
income",46326
United States,CURRENT DOLLARS,2005,"Standard
error",155
United States,CURRENT DOLLARS,2006,"Median
income",48201
United States,CURRENT DOLLARS,2006,"Standard
error",207
United States,CURRENT DOLLARS,2007,"Median
income",50233
United States,CURRENT DOLLARS,2007,"Standard
error",140
United States,CURRENT DOLLARS,2008,"Median
income",50303
United States,CURRENT DOLLARS,2008,"Standard
error",137
United States,CURRENT DOLLARS,2011,"Median
income",50054
United States,CURRENT DOLLARS,2011,"Standard
error",251
United States,CURRENT DOLLARS,2012,"Median
income",51017
United States,CURRENT DOLLARS,2012,"Standard
error",209
United States,CURRENT DOLLARS,2014,"Median
income",53657
United States,CURRENT DOLLARS,2014,"Standard
error",392
United States,CURRENT DOLLARS,2015,"Median
income",56516
United States,CURRENT DOLLARS,2015,"Standard
error",321
United States,CURRENT DOLLARS,2016,"Median
income",59039
United States,CURRENT DOLLARS,2016,"Standard
error",436
United States,CURRENT DOLLARS,2017,"Median
income",61372
United States,CURRENT DOLLARS,2017,"Standard
error",335
United States,CURRENT DOLLARS,1984 ,"Median
income",22415
United States,CURRENT DOLLARS,1984 ,"Standard
error",102
United States,CURRENT DOLLARS,1985 ,"Median
income",23618
United States,CURRENT DOLLARS,1985 ,"Standard
error",128
United States,CURRENT DOLLARS,1987 ,"Median
income",26061
United States,CURRENT DOLLARS,1987 ,"Standard
error",127
United States,CURRENT DOLLARS,1992 ,"Median
income",30636
United States,CURRENT DOLLARS,1992 ,"Standard
error",145
United States,CURRENT DOLLARS,1993 ,"Median
income",31241
United States,CURRENT DOLLARS,1993 ,"Standard
error",146
United States,CURRENT DOLLARS,1994 ,"Median
income",32264
United States,CURRENT DOLLARS,1994 ,"Standard
error",147
United States,CURRENT DOLLARS,1995 ,"Median
income",34076
United States,CURRENT DOLLARS,1995 ,"Standard
error",197
United States,CURRENT DOLLARS,1999 ,"Median
income",40696
United States,CURRENT DOLLARS,1999 ,"Standard
error",190
United States,CURRENT DOLLARS,2000 ,"Median
income",41990
United States,CURRENT DOLLARS,2000 ,"Standard
error",132
